Nº ANP;TITULO;EMPRESA RESPONSÁVEL;DEMAIS PROPONENTES;QUALIFICAÇÃO;OBJETIVO;ÁREA;TEMA;SUBTEMA;EXECUTOR 1;EXECUTOR 2;EXECUTOR 3;EXECUTOR 4;EXECUTOR 5;EXECUTOR 6;EXECUTOR 7;EXECUTOR 8;Nº AUTORIZAÇÃO;DATA INÍCIO;PRAZO;VALOR CLAUSULA
21319-9;Análise numérico-computacional de interação fluido-estrutura em tubulação com válvula borboleta;PETROBRAS;0;PESQUISA APLICADA;Através da presente proposta objetiva-se dar continuidade às atividades de cooperação científica entre o MFlab e a indústria de óleo e gás na área de modelagem matemática e simulação numérica de escoamentos turbulentos monofásicos com interação fluido-estrutura. Neste caso, será analisada uma tubulação com a presença de uma válvula borboleta, visando a determinação das suas respostas de vibração. Será utilizado o código computacional MFSim desenvolvido no Laboratório de Mecânica dos Fluidos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS;UFU - Laboratório de Mecânica dos Fluídos;;;;;;;;;27/06/2019;24; R$ 852.795,37 
21320-7;IMAGEAMENTO 4D PASSIVO OFFSHORE UTILIZANDO INTERFEROMETRIA SÍSMICA;PETROBRAS;0;PESQUISA APLICADA;A presente proposta objetiva avaliar o uso de técnicas de interferometria sísmica (IS) de ruído ambiente para a detecção de mudanças de parâmetros cinéticos (velocidade de propagação de onda) em subsuperfície em um reservatório offshore em produção. O reservatório em tela foi monitorado utilizando-se 712 OBS's (Ocean Bottom Sensor) 4C (geofones 3C + hidrofone) durante quatro meses de produção.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS;UFRN - Laboratórios de Geofísica Aplicada e de Estudos Sismológicos;;;;;;;;;28/06/2019;36; R$ 2.313.175,36 
21321-5;Avaliação da tenacidade à fratura e da vida remanescente à fadiga através da técnica de indentação instrumentada;PETROBRAS;0;DESENVOLVIMENTO EXPERIMENTAL;O presente projeto tem como objetivo aprimorar a técnica de indentação instrumentada, incorporando funcionalidades destinadas à avaliação da tenacidade à fratura, bem como da vida remanescente à fadiga. Pretende-se ainda validar os modelos e métodos desenvolvidos usando materiais comuns da área de óleo e  gás, inclusive com assistência do meio (proteção catódica).;TEMAS TRANSVERSAIS;MATERIAIS;INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS;UFU - Laboratório de Tecnologia em Atrito e Desgaste;;;;;;;;;28/06/2019;36; R$ 3.909.067,41 
21322-3;Determinação da influência da diluição por CO2 sobre o retorno de chama e a transição deflagração/detonação em misturas combustíveis;PETROBRAS;0;PESQUISA BÁSICA;O objetivo deste projeto é determinar experimentalmente a influência da diluição por CO2 sobre o retorno de chamas (flashback) e sobre a transição deflagração detonação de misturas hidrocarbonetos gasosos e de ar.;ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;PUC-Rio - Laboratório de Combustão e Turbulência;;;;;;;;;27/06/2019;48; R$ 2.506.010,63 
21323-1;Augmented Analytics aplicada a indústria de O&G;PETROBRAS;0;PESQUISA APLICADA;Desbravar as possibilidades, propor e implementar soluções de Análise Aumentada (Augmented Analytics) à indústria de petróleo, com foco na exploração e produção.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;PUC-Rio - ATD-Lab: Algoritmos e Tecnologia de Decisão;;;;;;;;;27/06/2019;36; R$ 10.710.860,44 
21324-9;Avaliação e desenvolvimento de AUVs e tecnologias associadas;PETROBRAS;0;PESQUISA APLICADA;Agrupar e permitir a execução de todas as atividades de PD&I relacionadas à AUVs, tendo como foco a realização do mapa tecnológico (roadmap) estabelecido para o uso de AUVs na PETROBRAS;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;PETROBRAS;;;;;;;;;29/04/2019;38; R$ 1.865.522,00 
21326-4;Desenvolvimento de um sistema de inspeção de dutos flexíveis por meio do uso de tomografia computadorizada de alta potência;SHELL;0;PROTÓTIPO OU UNIDADE PILOTO;O projeto tem como objetivo o desenvolvimento de um sistema para inspeção de dutos flexíveis através do uso de técnicas baseadas em tomografia computadorizada, visando a geração de um modelo tridimensional (3D) dos dutos, e portanto, permitindo a identificação de diversos tipos de danos e potenciais modos de falha.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;MARINE PRODUCTION SYSTEMS DO BRASIL LTDA;SHELL;;;;;;;;05/06/2019;25; R$ 22.160.500,83 
21327-2;Estratégias para Otimização Estática e Dinâmica de Sistemas Marítimos Complexos de Produção de Óleo e Gás;PETROBRAS;0;PESQUISA APLICADA;Desenvolver modelos matemáticos, implementações em linguagens algébricas, e ferramentas matemático-computacionais para otimização da produção de plataformas marítimas, e a produção integrada de plataformas que compartilham linhas de escoamento de gás submarinas. Serão considerados diversos métodos de elevação artificial (gas-lift e BCS) e processos de tratamento dos fluidos produzidos (separação, compressão e CO2), também garantias de escoamento, desgaste de equipamentos e operação de válvulas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;UFSC - Grupo de Pesquisa em Controle, Automação e Instrumentação para a Indústria de Petróleo, Gás e Energia;;;;;;;;;02/07/2019;36; R$ 2.786.803,34 
20890-0;Projeto de infraestrutura para implementação de equipamento para contagem de partículas provenientes de emissões veiculares;PETROBRAS;0;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Aquisição de equipamento para desenvolvimento de projeto de pesquisa aplicada para análise da emissão de material particulado em veículos automotores do ciclo Otto abastecidos com diferentes composições de gasolina e etanol hidratado combustível.;OUTRAS FONTES DE ENERGIA;OUTRAS FONTES ALTERNATIVAS;SISTEMAS HÍBRIDOS;LACTEC - INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO;;;;;;;;1204/2018;02/07/2019;12; R$ 1.740.406,63 
21328-0;Análise de trocadores de calor compactos fabricados por manufatura aditiva;PETROBRAS;0;PESQUISA APLICADA;O objetivo principal da presente pesquisa é realizar uma avaliação experimental termo-hidráulica e de resistência (cargas de pressão/temperatura estáticas e dinâmicas) de um permutador de calor compacto, fabricado por manufatura aditiva.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;UFSC - Thermal Fluid Flow Group - T2F;;;;;;;;;03/07/2019;36; R$ 3.022.783,65 
20883-5;Aquisição de equipamentos para expansão da capacidade de processamento paralelo do Laboratório de Mecânica dos Fluidos da  FEMEC-UFU;PETROBRAS;0;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Dentro do Laboratório de Mecânica dos Fluidos-FEMEC-UFU (MFLab) tem-se o Laboratório de Processamento Paralelo de Alto Desempenho. Faz-se necessária a expansão/renovação de sua infra-estrutura de equipamentos, tendo em vista o desenvolvimento de pesquisa numérico-computacional aplicados à dinâmica dos fluidos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS;UFU - Laboratório de Mecânica dos Fluídos;;;;;;;;1207/2018;27/06/2019;24; R$ 1.269.360,00 
21330-6;PLATAFORMA DE ANÁLISE PREDITIVA E VISUALIZAÇÃO DE DADOS BASEADA EM DEEP LEARNING;SHELL;0;PESQUISA APLICADA;O objetivo principal deste projeto é desenvolver uma plataforma computacional para a realização de análise de dados em tempo real para desenvolvimento de modelos preditivos e de visualização de dados capazes de prover insights na exploração de petróleo e gás em águas profundas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;RECUPERAÇÃO AVANÇADA DE PETRÓLEO;RECUPERAÇÃO MELHORADA DE PETRÓLEO;SENAI-PE - Instituto SENAI de Inovação para Tecnologias da Informação e Comunicação;TEIA LABS TECNOLOGIAS EM INTELIGENCIA ARTIFICIAL LTDA.;;;;;;;;01/10/2018;12; R$ 814.900,83 
21331-4;Metodologia para Análise de Queda de Risers;PETROBRAS;0;PESQUISA APLICADA;O objetivo geral deste projeto consiste em desenvolver uma metodologia para análise da queda de risers após a sua ruptura. A metodologia deverá ser capaz de representar o que ocorre após o rompimento do riser, incluindo a descrição da trajetória de queda e a resposta quanto ao contato/impacto com outros risers e equipamentos submarinos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;UFC - Laboratório de Mecânica Computacional e Visualização (LMCV);;;;;;;;;04/07/2019;48; R$ 1.702.358,49 
21332-2;Pastas de Cimento auto aquecidas baseadas em Hipertermia Magnética (DRILLPERF-SHC);REPSOL;0;PESQUISA APLICADA;Desenvolver um estudo exploratório para avaliar a viabilidade técnica de se usar nano-partículas magnéticas (NPM) para produzir hipertermia magnética em pastas de cimentação utilizadas em poços de petróleo,  e com isso, gerar pastas auto-aquecidas, capazes de fornecer um menor tempo de pega (WOC time) sem trazer complicações operacionais e sem comprometer a integridade da barreira (cimento).;TEMAS TRANSVERSAIS;MATERIAIS;NANOMATERIAIS;REPSOL;UFRJ - LABEST - Laboratório de Estruturas e Materiais Prof. Lobo Carneiro;;;;;;;;14/06/2019;13; R$ 3.047.420,22 
21333-0;Avaliação de Ácidos Aminofosfônicos na Prevenção de Incrustação e Corrosão em Sistema de Produção de Petróleo.;PETROBRAS;0;PESQUISA APLICADA;"Avaliação da inibição de incrustação e de corrosão de moléculas derivadas de ácidos aminofosfônicos em sistema de produção de petróleo.
Determinação da corrosividade, em diferentes valores de pH, para aço carbono e aço inoxidável utilizados nos sistemas de injeção de produtos químicos em um poço de petróleo.";TEMAS TRANSVERSAIS;MATERIAIS;CORROSÃO E PROTEÇÃO;UFRJ - Laboratório de Corrosão e Proteção - LabCP ;;;;;;;;;27/06/2019;36; R$ 1.299.028,20 
21334-8;Modelagem matemática e simulação numérica de processos sedimentares com foco em correntes de densidade - SINAPSE;PETROBRAS;0;PESQUISA APLICADA;Identificar, compreender, testar hipóteses e quantificar os processos hidrodinâmicos associados ao transporte e depósito de sedimentos de múltiplas correntes hiperpicnais polidispersas de volume finito e de fluxo contínuo, utilizando simulação numérica de alto desempenho.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;PUC-RS - Faculdade de Engenharia;;;;;;;;;05/07/2019;48; R$ 4.180.372,47 
21337-1;Desenvolvimento de Técnicas Não Intrusivas para Mitigação de Microrganismos em Petróleo;PETROBRAS;0;PESQUISA APLICADA;Realizar estudo de desenvolvimento e aplicação de técnicas não intrusiva para eliminação de microrganismos em Petróleo, que possam gerar algum tipo de fenômeno de corrosão em equipamentos.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;INTEGRIDADE DE EQUIPAMENTOS E INSTALAÇÕES;PETROBRAS;;;;;;;;;12/04/2019;48; R$ 308.253,60 
21339-7;CARACTERIZAÇÃO DE RESERVATÓRIOS CARBONÁTICOS USANDO MULTIATRITUBOS SÍSMICOS;EQUINOR;0;PESQUISA APLICADA;Esta pesquisa tem como objetivo melhorar a identificação e caracterização dos reservatórios do pré-sal usando metodologias de integração de dados de rocha, perfis, sísmicos e potenciais em associação com análogos modernos de carbonatos. Fluxos de trabalhos serão desenvolvidos usando atributos sísmicos e modelagem de física de rocha e uma enfânse será dada para desenvolver um entendimento dos ambientes deposicionais das coquinas (Formação Itapema) e dos microbialitos (Formação Barra-Velha).;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS;EQUINOR;UFF - Grupo de Interpretação Exploratória e Caracterização de Reservatórios - GIECAR;;;;;;;;15/05/2019;36; R$ 5.321.347,55 
21340-5;Análise de Asfaltenos e suas subfrações por FT-ICR MS;PETROBRAS;0;DESENVOLVIMENTO EXPERIMENTAL;Propor metodologias de ionização, e fracionamento de asfaltenos por espectrometria de massas de altíssima resolução e exatidão (FT-ICR MS);ABASTECIMENTO;REFINO;PROCESSAMENTO DE PETRÓLEO;UFES - LabPetro;;;;;;;;;04/07/2019;36; R$ 1.388.601,02 
21341-3;Desenvolvimento de superfícies metálicas anti-incrustantes revestidas e não-revestidas;PETROBRAS;0;PESQUISA APLICADA;Desenvolver superfícies metálicas revestidas e não-revestidas com desempenho anti-incrustante para carbonato de cálcio (CaCO3) a partir da modificação de propriedades de superfície de materiais metálicos comerciais utilizando a nanotecnologia.;TEMAS TRANSVERSAIS;MATERIAIS;TECNOLOGIA DE MATERIAIS;UFRJ - Laboratório de Recobrimentos Protetores;;;;;;;;;27/06/2019;36; R$ 805.470,90 
20586-4;Medidas de transporte elétrico sob pressão em plugues de Rocha.;PETROBRAS;0;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Este projeto de pesquisa tem como objetivo principal montar uma infraestrutura para realizar medidas de resistividade elétrica de plugues de rochas usando as técnicas de indução e galvanostática em função da temperatura e pressão.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;UnB - Laboratório de Interfaces e Nanodispositivos;;;;;;;;0582/2018;10/07/2019;18; R$ 587.129,77 
21344-7;Fadiga e fratura em aço C-Mn para dutos rígidos submarinos em meio de elevada pCO2;PETROBRAS;0;PESQUISA APLICADA;Obter dados de corrosão-fadiga, tenacidade e susceptibilidade à CST de aços C-Mn utilizados em gasodutos rígidos em meios de elevada pressão parcial de CO2. Em um segundo momento, a depender dos resultados iniciais do projeto, poderá haver interesse em investigar a influência dos parâmetros como nível de confinamento, presença de H2S, pressão parcial do CO2, presença de inibidor de corrosão e frequência de carregamento cíclico na fadiga.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;05/07/2019;54; R$ 585.201,26 
21345-4;Avaliação do Impacto da Queda de Risers;PETROBRAS;0;PESQUISA APLICADA;Levantar as consequências e conclusões da queda de dutos flexíveis, em configurações vertical, catenária e lazy-wave, (por ruptura de riser) nas linhas adjacentes (risers, flowlines e linhas de ancoragem) e obstáculos submarinos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;PETROBRAS;;;;;;;;;03/07/2019;60; R$ 2.600.634,94 
21346-2;Desempenho de Reparos em Ambientes Salinos;PETROBRAS;0;PESQUISA APLICADA;Avaliar a durabilidade de diferentes reparos de tubulações metálicas com materiais compósitos quando expostos a ambientes salinos típicos a partir de ensaios acelerados (temperaturas elevadas).;TEMAS TRANSVERSAIS;MATERIAIS;CORROSÃO E PROTEÇÃO;PUC-Rio - Laboratório de Materiais Compósitos;;;;;;;;;04/07/2019;44; R$ 7.565.732,68 
21088-0;Net4GTL ¿ Desenvolvimento de Protótipo de Reator Catalítico para Produção Contínua de Hidrocarbonetos Líquidos a Partir de Gás de Síntese (CO e H2) - INFRAESTRUTURA;PETROGAL;0;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;O presente projeto tem como objetivo a aquisição de equipamentos nacionais, importados e a contratação de serviços necessários para viabilizar o desenvolvimento de um novo reator catalítico para produção de hidrocarbonetos líquidos, a partir de gás de síntese (CO e H2).;GÁS NATURAL;PRODUÇÃO E PROCESSAMENTO;TRANSFORMAÇÃO QUÍMICA DE GÁS NATURAL;UFRJ - LEACAT - Laboratório de Estudos em Alcoolquímica e Catálise;;;;;;;;0047/2019;31/05/2019;12; R$ 3.575.363,00 
21347-0;"Net4GTL ¿ Desenvolvimento de Protótipo de Reator Catalítico Para Produção Contínua de Hidrocarbonetos Líquidos
 a Partir de Gás de Síntese Pela Reação de Fischer-Tropsch";PETROGAL;0;PROTÓTIPO OU UNIDADE PILOTO;O presente projeto tem como principal objetivo desenvolver um novo processo industrial, Net4GtL, para a produção contínua de hidrocarbonetos (HC) líquidos a partir de gás de síntese (CO e H2) pela reação de Fischer-Tropsch (FT), baseado num novo reator de produção (NETmix).;GÁS NATURAL;PRODUÇÃO E PROCESSAMENTO;TRANSFORMAÇÃO QUÍMICA DE GÁS NATURAL;UFRJ - LEACAT - Laboratório de Estudos em Alcoolquímica e Catálise;;;;;;;;;31/05/2019;48; R$ 13.324.034,00 
21087-2;Aprimoramento da Infra-Estrutura do NUESC/ITP para o Estudo do Comportamento de Fases de Petróleos do Pré-Sal Brasileiro na Presença de CO2;PETROGAL;0;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;O objetivo geral da presente proposta é o aprimoramento da Infra-Estrutura do NUESC/ITP visando o estudo do comportamento de fases de petróleos do Pré-Sal Brasileiro na presença de CO2. O projeto prevê a instalação de célula PVT acoplada a microscopia de alta pressão e ferramentas de infravermelho próximo para detectar a estabilidade de tais sistemas e gerar informações para alimentar modelos termodinâmicos que simulem as condições de precipitação de tais frações;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;RECUPERAÇÃO AVANÇADA DE PETRÓLEO;CARACTERIZAÇÃO E ENGENHARIA DE RESERVATÓRIOS;ITP - Núcleo de Estudos em Sistemas Coloidais;;;;;;;;0038/2019;14/06/2019;18; R$ 12.070.184,00 
21348-8;Comportamento de Fases de Petróleos do Pré-Sal Brasileiro e suas Frações Asfálticas na presença de CO2;PETROGAL;0;PESQUISA APLICADA;O objetivo geral do presente projeto é avaliar a estabilidade de frações asfática/parafínica/naftênicas de óleos do pré-sal brasileiro na presença de dióxido de carbono comprimido. O projeto prevê o uso de células PVT acopladas a microscopia de alta pressão e ferramentas de infravermelho próximo para detectar a estabilidade de tais sistemas e gerar informações para alimentar modelos termodinâmicos que simulem as condições de precipitação de tais frações;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;RECUPERAÇÃO AVANÇADA DE PETRÓLEO;CARACTERIZAÇÃO E ENGENHARIA DE RESERVATÓRIOS;ITP - Núcleo de Estudos em Sistemas Coloidais;;;;;;;;;14/06/2019;36; R$ 3.787.087,00 
21349-6;Pesquisa e Desenvolvimento de Nova Metodologia para Avaliação do Potencial de Geração de Energia Solar Fotovoltaica (ESFV) e Novos Usos da Tecnologia no Brasil;PETROGAL;0;PESQUISA APLICADA;O projeto tem como principal objetivo a investigação e o desenvolvimento de novos usos e modelos de negócios portadores de futuro para ESFV com aplicação de nova metodologia de avaliação da cadeia de valor daquele setor.Trata-se de investigação fundamental para composição de um portfólio robusto de desenvolvimento do programa tecnológico da Petrogal Brasil em energias sustentáveis.;OUTRAS FONTES DE ENERGIA;ENERGIA SOLAR;ENERGIA SOLAR FOTOVOLTAICA;PUC-Rio - Instituto de Energia da PUC Rio;;;;;;;;;28/05/2019;12; R$ 3.202.275,00 
21350-4;Desenvolvimento de Ferramenta Operada por ROV para Detecção de Alagamento de Anular em Risers Flexíveis em Operação.;PETROGAL;0;PROTÓTIPO OU UNIDADE PILOTO;O objetivo principal é realizar a pesquisa e desenvolvimento da tecnologia de inspeção por ultrassom empregada na detecção de presença de água no interior da região anular de risers flexíveis em produção. Será ainda construido e realizados testes operacionais em campo.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;ISQ BRASIL INSTITUTO DE SOLDADURA E QUALIDADE LTDA.;ATIVATEC TECNOLOGIA E DESENVOLVIMENTO LTDA;;;;;;;;24/06/2019;24; R$ 18.591.573,00 
21351-2;Desenvolvimento de Workflow para Modelagem Geomecânica de Reservatórios a partir de Dados Sísmicos e de Poço;PETROGAL;0;PESQUISA BÁSICA;Este projeto tem como objetivo o desenvolvimento e implementação de uma metodologia de validação da caracterização e modelagem geomecânica de reservatórios de petróleo para a simulação da distribuição do estado de tensões e deformações in situ com base na inversão dos dados de sísmica de reflexão e calibração dos modelos de tensões com base em simuladores dinâmicos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;UFRGS - DEPARTAMENTO DE ENGENHARIA DE MINAS/DEMIN-UFRGS;;;;;;;;;10/06/2019;36; R$ 3.621.900,00 
21352-0;Propriedades em escalas micro e macro de carbonatos para problemas relacionados a óleo e gás;EQUINOR;0;PESQUISA APLICADA;O objetivo geral do projeto de pesquisa proposto é estudar as propriedades petrofísicas e mecânicas de carbonatos. Amostras de carbonatos serão selecionadas para realizar os estudos. O estudo será desenvolvido considerando amostras de rochas de macro escala e amostras numéricas geradas por análise digital de imagens de experimentos de micro tomografia.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PERFURAÇÃO E COMPLETAÇÃO DE POÇOS;EQUINOR;PUC-Rio - Grupo de Tecnologia e Engenharia de Petroleo - GTEP;;;;;;;;15/05/2019;24; R$ 3.623.362,49 
21353-8;Inteligência Artificial para predizer permeabilidade e fácies a partir de perfis de imagem;PETROBRAS;0;PESQUISA APLICADA;Treinar rede neural capaz de predizer permeabilidade e fácies a partir de texturas geológicas nas imagens obtidas nos perfis de imagem do poço.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES;PETROBRAS;;;;;;;;;28/05/2019;22; R$ 1.008.191,52 
21354-6;WORKOVER - Desenvolvimento de Técnicas para Análise de Anomalias que possam ocorrer durante a  Produção  de Poços Offshore, demandando intervenções.;PETROBRAS;0;PESQUISA APLICADA;Este projeto se propõe a dar continuidade aos desdobramentos de projeto anterior, onde foram mapeadas as técnicas de análise de dados de monitoramento em tempo real para classificação do evento crítico prisão de coluna de perfuração, para evitar perdas do processo de perfuração de poços de petróleo offshore, no qual foi definido um processo proposto com técnicas de Análise de Dados. Neste projeto pretende-se avançar com a avaliação de anomalias ocorridas durante a vida produtiva de um poço e que;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;ESTABILIDADE DE POÇOS;UFF - LABORATÓRIO DE METROLOGIA DIMENSIONAL E COMPUTACIONAL;;;;;;;;;16/07/2019;36; R$ 4.538.279,10 
21355-3;Técnicas especiais de soldagem em operação para manutenção em refinarias;PETROBRAS;0;PESQUISA APLICADA;O objetivo geral deste projeto é desenvolver técnicas especiais de soldagem em operação para manutenção de equipamentos construídos com materiais especiais ou que operam em temperatura elevada, visando aumento de confiabilidade e redução nos tempos de intervenção em refinarias.;TEMAS TRANSVERSAIS;MATERIAIS;CORROSÃO E PROTEÇÃO;UFC - Laboratório de Pesquisa e Tecnologia em Soldagem - LPTS;;;;;;;;;10/07/2019;36; R$ 3.308.804,44 
